Part	Poem	Verse	Word1	Word2	IPA1	IPA2	Type	Rhyming	Lines
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	期	埘	ki44	si53	inexact	crossed	1110-1112
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	期	矣	ki44	i32	inexact	encircling	1110-1113
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	期	役	ki44	iʔ5	inexact	-	1110-1115
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	哉	来	ʦai44	lai53	inexact	crossed	1111-1114
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	埘	矣	si53	i32	inexact	-	1112-1113
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	埘	役	si53	iʔ5	inexact	paired	1112-1115
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	矣	役	i32	iʔ5	inexact	-	1113-1115
book-of-poetry/odes-of-wang/zhs	Yang Zhi Shui	2	薪	申	siŋ44	siŋ44	tonal exact	crossed	1134-1136
book-of-poetry/odes-of-wang/zhs	Yang Zhi Shui	2	哉	哉	ʦai44	ʦai44	tonal inexact	-	1137-1138
book-of-poetry/odes-of-wang/zhs	Yang Zhi Shui	3	楚	甫	ʦʰu32	hu32	tonal inexact	crossed	1140-1142
book-of-poetry/odes-of-wang/zhs	Yang Zhi Shui	3	哉	哉	ʦai44	ʦai44	tonal inexact	-	1143-1144
book-of-poetry/odes-of-wang/zhs	Zhong Gu	2	矣	矣	i32	i32	tonal inexact	-	1154-1155
book-of-poetry/odes-of-wang/zhs	Zhong Gu	2	矣	矣	i32	i32	tonal inexact	paired	1154-1156
book-of-poetry/odes-of-wang/zhs	Zhong Gu	2	矣	矣	i32	i32	tonal inexact	-	1155-1156
book-of-poetry/odes-of-wang/zhs	Zhong Gu	3	矣	矣	i32	i32	tonal inexact	-	1160-1161
book-of-poetry/odes-of-wang/zhs	Zhong Gu	3	矣	矣	i32	i32	tonal inexact	paired	1160-1162
book-of-poetry/odes-of-wang/zhs	Zhong Gu	3	矣	矣	i32	i32	tonal inexact	-	1161-1162
book-of-poetry/odes-of-wang/zhs	Tu Yuan	3	罦	初	hu44	ʦʰu44	tonal inexact	paired	1177-1178
book-of-poetry/odes-of-wang/zhs	Ge Lei	2	父	父	hou242	hou242	tonal inexact	-	1193-1194
book-of-poetry/odes-of-wang/zhs	Ge Lei	2	父	顾	hou242	kou212	inexact	paired	1193-1195
book-of-poetry/odes-of-wang/zhs	Ge Lei	2	父	顾	hou242	kou212	inexact	-	1194-1195
book-of-poetry/odes-of-wang/zhs	Ge Lei	3	母	母	mu32	mu32	tonal inexact	paired	1199-1200
book-of-poetry/odes-of-wang/zhs	Da Che	2	菼	敢	laŋ32	kaŋ32	tonal exact	crossed	1218-1220
book-of-poetry/odes-of-wang/zhs	Qiu Zhong You Ma	2	嗟	嗟	ʦia44	ʦia44	tonal inexact	paired	1230-1231
book-of-poetry/odes-of-wang/zhs	Qiu Zhong You Ma	3	国	国	kuɔʔ23	kuɔʔ23	tonal exact	paired	1234-1235
book-of-poetry/odes-of-zheng/zhs	Zi Yi	2	兮	兮	hi44	hi44	tonal inexact	-	1243-1244
book-of-poetry/odes-of-zheng/zhs	Zi Yi	2	兮	兮	hi44	hi44	tonal inexact	crossed	1243-1246
book-of-poetry/odes-of-zheng/zhs	Zi Yi	2	兮	兮	hi44	hi44	tonal inexact	-	1244-1246
book-of-poetry/odes-of-zheng/zhs	Zi Yi	3	兮	兮	hi44	hi44	tonal inexact	-	1249-1250
book-of-poetry/odes-of-zheng/zhs	Zi Yi	3	兮	兮	hi44	hi44	tonal inexact	crossed	1249-1252
book-of-poetry/odes-of-zheng/zhs	Zi Yi	3	兮	兮	hi44	hi44	tonal inexact	-	1250-1252
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	里	杞	li32	ki32	tonal inexact	paired	1260-1261
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	里	之	li32	ʦi44	inexact	crossed	1260-1262
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	杞	之	ki32	ʦi44	inexact	-	1261-1262
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	也	也	ia32	ia32	tonal inexact	-	1264-1266
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	3	之	兄	ʦi44	hiŋ44	tonal inexact	-	1270-1271
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	3	也	也	ia32	ia32	tonal inexact	-	1272-1274
book-of-poetry/odes-of-zheng/zhs	Shu Yu Tian	2	人	人	iŋ53	iŋ53	tonal exact	paired	1284-1285
book-of-poetry/odes-of-zheng/zhs	Shu Yu Tian	2	人	仁	iŋ53	iŋ53	tonal exact	encircling	1284-1287
book-of-poetry/odes-of-zheng/zhs	Shu Yu Tian	2	人	仁	iŋ53	iŋ53	tonal exact	paired	1285-1287
book-of-poetry/odes-of-zheng/zhs	Shu Yu Tian	3	酒	酒	ʦieu32	ʦieu32	tonal inexact	paired	1289-1290
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	组	舞	ʦu32	u32	tonal inexact	-	1300-1301
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	组	虎	ʦu32	hu32	tonal inexact	encircling	1300-1304
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	组	所	ʦu32	su32	tonal inexact	-	1300-1305
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	舞	虎	u32	hu32	tonal inexact	paired	1301-1304
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	舞	所	u32	su32	tonal inexact	crossed	1301-1305
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	举	女	ky32	ny32	tonal inexact	-	1303-1307
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	虎	所	hu32	su32	tonal inexact	-	1304-1305
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	黄	襄	uoŋ53	suoŋ44	exact	paired	1309-1310
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	行	忌	hɛiŋ53	kɛi242	inexact	paired	1311-1314
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	行	忌	hɛiŋ53	kɛi242	inexact	crossed	1311-1315
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	行	忌	hɛiŋ53	kɛi242	inexact	encircling	1311-1316
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kɛi242	kɛi242	tonal inexact	-	1314-1315
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kɛi242	kɛi242	tonal inexact	-	1314-1316
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kɛi242	kɛi242	tonal inexact	-	1314-1317
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kɛi242	kɛi242	tonal inexact	-	1315-1316
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kɛi242	kɛi242	tonal inexact	-	1315-1317
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kɛi242	kɛi242	tonal inexact	-	1316-1317
book-of-poetry/odes-of-zheng/zhs	Qing Ren	3	乔	遥	kieu53	ieu53	tonal inexact	paired	1334-1335
book-of-poetry/odes-of-zheng/zhs	Gao Qiu	2	子	渝	ʦy32	y53	inexact	-	1342-1343
book-of-poetry/odes-of-zheng/zhs	Gao Qiu	3	力	直	liʔ5	tiʔ5	tonal exact	crossed	1345-1347
book-of-poetry/odes-of-zheng/zhs	Zun Da Lu	2	兮	兮	hi44	hi44	tonal inexact	paired	1353-1354
book-of-poetry/odes-of-zheng/zhs	Nu Yue Ji Ming	2	旦	烂	tɑŋ212	lɑŋ242	exact	crossed	1361-1363
book-of-poetry/odes-of-zheng/zhs	Nu Yue Ji Ming	2	旦	雁	tɑŋ212	ŋɑŋ242	exact	-	1361-1365
book-of-poetry/odes-of-zheng/zhs	Nu Yue Ji Ming	2	烂	雁	lɑŋ242	ŋɑŋ242	tonal exact	-	1363-1365
book-of-poetry/odes-of-zheng/zhs	Nu Yue Ji Ming	3	老	好	lo32	ho32	tonal inexact	-	1369-1371
book-of-poetry/odes-of-zheng/zhs	Tuo XI	2	女	女	ny32	ny32	tonal inexact	crossed	1399-1401
book-of-poetry/odes-of-zheng/zhs	Jiao Tong	2	兮	兮	hi44	hi44	tonal inexact	crossed	1407-1409
book-of-poetry/odes-of-zheng/zhs	Qian Chang	2	溱	人	ʦiŋ53	iŋ53	tonal exact	crossed	1415-1417
book-of-poetry/odes-of-zheng/zhs	Feng	2	兮	兮	hi44	hi44	tonal inexact	paired	1425-1426
book-of-poetry/odes-of-zheng/zhs	Feng	3	兮	兮	hi44	hi44	tonal inexact	paired	1428-1429
book-of-poetry/odes-of-zheng/zhs	Feng	4	衣	兮	i44	hi44	tonal inexact	paired	1431-1432
book-of-poetry/odes-of-zheng/zhs	Zi Jin	2	心	音	siŋ44	iŋ44	tonal exact	crossed	1459-1461
book-of-poetry/odes-of-zheng/zhs	Yang Zhi Shui	2	女	女	ny32	ny32	tonal inexact	-	1473-1475
book-of-poetry/odes-of-zheng/zhs	Chu Qi Dong Men	2	云	云	uŋ53	uŋ53	tonal exact	paired	1483-1484
book-of-poetry/odes-of-zheng/zhs	Ye You Man Cao	2	兮	人	hi44	iŋ53	inexact	paired	1495-1496
book-of-poetry/odes-of-zheng/zhs	Ye You Man Cao	2	兮	兮	hi44	hi44	tonal inexact	crossed	1495-1497
book-of-poetry/odes-of-zheng/zhs	Ye You Man Cao	2	兮	兮	hi44	hi44	tonal inexact	-	1495-1499
book-of-poetry/odes-of-zheng/zhs	Ye You Man Cao	2	人	兮	iŋ53	hi44	inexact	-	1496-1497
book-of-poetry/odes-of-zheng/zhs	Ye You Man Cao	2	人	兮	iŋ53	hi44	inexact	crossed	1496-1499
book-of-poetry/odes-of-zheng/zhs	Ye You Man Cao	2	兮	兮	hi44	hi44	tonal inexact	-	1497-1499
book-of-poetry/odes-of-zheng/zhs	Zhen Wei	2	兮	兮	hi44	hi44	tonal inexact	crossed	1507-1509
book-of-poetry/odes-of-zheng/zhs	Zhen Wei	2	乎	乎	hu44	hu44	tonal inexact	-	1510-1512
book-of-poetry/odes-of-zheng/zhs	Zhen Wei	2	谑	药	ŋyoʔ5	yoʔ5	tonal exact	-	1516-1517
book-of-poetry/odes-of-qi/zhs	Ji Ming	2	矣	鸣	i32	miŋ53	inexact	paired	1531-1532
book-of-poetry/odes-of-qi/zhs	Ji Ming	3	矣	明	i32	miŋ53	inexact	paired	1535-1536
book-of-poetry/odes-of-qi/zhs	Xuan	2	兮	兮	hi44	hi44	tonal inexact	paired	1543-1544
book-of-poetry/odes-of-qi/zhs	Xuan	2	兮	兮	hi44	hi44	tonal inexact	crossed	1543-1545
book-of-poetry/odes-of-qi/zhs	Xuan	2	兮	兮	hi44	hi44	tonal inexact	-	1544-1545
book-of-poetry/odes-of-qi/zhs	Xuan	3	兮	兮	hi44	hi44	tonal inexact	paired	1547-1548
book-of-poetry/odes-of-qi/zhs	Xuan	3	兮	兮	hi44	hi44	tonal inexact	crossed	1547-1549
book-of-poetry/odes-of-qi/zhs	Xuan	3	兮	兮	hi44	hi44	tonal inexact	-	1548-1549
book-of-poetry/odes-of-qi/zhs	Zhu	2	而	而	i53	i53	tonal inexact	paired	1555-1556
book-of-poetry/odes-of-qi/zhs	Zhu	3	而	而	i53	i53	tonal inexact	paired	1558-1559
book-of-poetry/odes-of-qi/zhs	Dong Fang Zhi Ri	2	兮	兮	hi44	hi44	tonal inexact	-	1565-1566
book-of-poetry/odes-of-qi/zhs	Dong Fang Zhi Ri	2	兮	兮	hi44	hi44	tonal inexact	paired	1565-1567
book-of-poetry/odes-of-qi/zhs	Dong Fang Zhi Ri	2	兮	兮	hi44	hi44	tonal inexact	-	1566-1567
book-of-poetry/odes-of-qi/zhs	Dong Fang Wei Ming	2	之	之	ʦi44	ʦi44	tonal inexact	-	1575-1576
book-of-poetry/odes-of-qi/zhs	Dong Fang Wei Ming	3	衣	之	i44	ʦi44	tonal inexact	paired	1578-1579
book-of-poetry/odes-of-qi/zhs	Dong Fang Wei Ming	3	衣	之	i44	ʦi44	tonal inexact	crossed	1578-1580
book-of-poetry/odes-of-qi/zhs	Dong Fang Wei Ming	3	之	之	ʦi44	ʦi44	tonal inexact	-	1579-1580
book-of-poetry/odes-of-qi/zhs	Nan Shan	2	绥	归	ʦʰuoi53	kuoi44	inexact	crossed	1586-1588
book-of-poetry/odes-of-qi/zhs	Nan Shan	2	止	止	ʦi32	ʦi32	tonal inexact	-	1589-1590
book-of-poetry/odes-of-qi/zhs	Nan Shan	3	止	止	ʦi32	ʦi32	tonal inexact	crossed	1592-1594
book-of-poetry/odes-of-qi/zhs	Nan Shan	3	止	止	ʦi32	ʦi32	tonal inexact	encircling	1592-1595
book-of-poetry/odes-of-qi/zhs	Nan Shan	3	止	止	ʦi32	ʦi32	tonal inexact	-	1592-1596
book-of-poetry/odes-of-qi/zhs	Nan Shan	3	止	止	ʦi32	ʦi32	tonal inexact	-	1594-1595
book-of-poetry/odes-of-qi/zhs	Nan Shan	3	止	止	ʦi32	ʦi32	tonal inexact	-	1594-1596
book-of-poetry/odes-of-qi/zhs	Nan Shan	3	止	止	ʦi32	ʦi32	tonal inexact	-	1595-1596
book-of-poetry/odes-of-qi/zhs	Nan Shan	4	亩	母	mu32	mu32	tonal inexact	crossed	1598-1600
book-of-poetry/odes-of-qi/zhs	Nan Shan	4	止	止	ʦi32	ʦi32	tonal inexact	-	1601-1602
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	paired	1656-1657
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	crossed	1656-1658
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	encircling	1656-1659
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	-	1656-1660
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	-	1657-1658
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	paired	1657-1659
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	crossed	1657-1660
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	-	1658-1659
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	-	1658-1660
book-of-poetry/odes-of-qi/zhs	Yi Jie	2	兮	兮	hi44	hi44	tonal inexact	-	1659-1660
book-of-poetry/odes-of-qi/zhs	Yi Jie	3	兮	兮	hi44	hi44	tonal inexact	paired	1662-1663
book-of-poetry/odes-of-qi/zhs	Yi Jie	3	兮	兮	hi44	hi44	tonal inexact	encircling	1662-1665
book-of-poetry/odes-of-qi/zhs	Yi Jie	3	兮	兮	hi44	hi44	tonal inexact	-	1662-1666
book-of-poetry/odes-of-qi/zhs	Yi Jie	3	兮	兮	hi44	hi44	tonal inexact	paired	1663-1665
book-of-poetry/odes-of-qi/zhs	Yi Jie	3	兮	兮	hi44	hi44	tonal inexact	crossed	1663-1666
book-of-poetry/odes-of-qi/zhs	Yi Jie	3	兮	兮	hi44	hi44	tonal inexact	-	1665-1666
book-of-poetry/odes-of-wei1/zhs	Ge Ju	2	之	之	ʦi44	ʦi44	tonal inexact	-	1677-1678
book-of-poetry/odes-of-wei1/zhs	Fen Ju Ru	2	度	度	touʔ5	touʔ5	tonal exact	-	1687-1688
book-of-poetry/odes-of-wei1/zhs	Fen Ju Ru	2	度	路	touʔ5	lou242	inexact	paired	1687-1689
book-of-poetry/odes-of-wei1/zhs	Fen Ju Ru	2	度	路	touʔ5	lou242	inexact	-	1688-1689
book-of-poetry/odes-of-wei1/zhs	Fen Ju Ru	3	英	英	iŋ44	iŋ44	tonal exact	-	1693-1694
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	矣	谣	i32	iŋ53	inexact	-	1704-1705
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	矣	其	i32	ki53	inexact	-	1704-1709
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	谣	其	iŋ53	ki53	tonal inexact	crossed	1705-1709
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	谣	矣	iŋ53	i32	inexact	encircling	1705-1710
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	其	矣	ki53	i32	inexact	-	1709-1710
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	其	之	ki53	ʦi44	inexact	-	1709-1711
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	其	之	ki53	ʦi44	inexact	-	1709-1712
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	矣	之	i32	ʦi44	inexact	-	1710-1711
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	矣	之	i32	ʦi44	inexact	-	1710-1712
book-of-poetry/odes-of-wei1/zhs	Yuan You Tao	2	之	之	ʦi44	ʦi44	tonal inexact	-	1711-1712
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	2	兮	役	hi44	iʔ5	inexact	crossed	1727-1729
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	2	兮	已	hi44	i32	inexact	encircling	1727-1730
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	2	兮	止	hi44	ʦi32	inexact	-	1727-1732
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	2	役	已	iʔ5	i32	inexact	-	1729-1730
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	2	役	止	iʔ5	ʦi32	inexact	paired	1729-1732
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	2	已	止	i32	ʦi32	tonal inexact	-	1730-1732
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	3	兮	役	hi44	iʔ5	inexact	crossed	1734-1736
book-of-poetry/odes-of-wei1/zhs	Zhi Hu	3	寐	弃	mɛi242	kʰɛi212	inexact	-	1737-1739
book-of-poetry/odes-of-wei1/zhs	Shi Mu Zhi Jian	2	兮	兮	hi44	hi44	tonal inexact	paired	1748-1749
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	猗	hi44	i44	tonal inexact	paired	1754-1755
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	encircling	1754-1757
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	-	1754-1759
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	猗	兮	i44	hi44	tonal inexact	paired	1755-1757
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	猗	兮	i44	hi44	tonal inexact	encircling	1755-1759
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	猗	兮	i44	hi44	tonal inexact	-	1755-1760
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	-	1757-1759
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	-	1757-1760
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	paired	1757-1761
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	-	1759-1760
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	-	1759-1761
book-of-poetry/odes-of-wei1/zhs	Fa Tan	2	兮	兮	hi44	hi44	tonal inexact	-	1760-1761
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	猗	hi44	i44	tonal inexact	paired	1763-1764
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	encircling	1763-1766
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	-	1763-1768
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	猗	兮	i44	hi44	tonal inexact	paired	1764-1766
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	猗	兮	i44	hi44	tonal inexact	encircling	1764-1768
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	猗	兮	i44	hi44	tonal inexact	-	1764-1769
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	-	1766-1768
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	-	1766-1769
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	paired	1766-1770
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	-	1768-1769
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	-	1768-1770
book-of-poetry/odes-of-wei1/zhs	Fa Tan	3	兮	兮	hi44	hi44	tonal inexact	-	1769-1770
book-of-poetry/odes-of-wei1/zhs	Shuo Shu	2	女	女	ny32	ny32	tonal inexact	paired	1782-1784
book-of-poetry/odes-of-wei1/zhs	Shuo Shu	2	土	土	tʰu32	tʰu32	tonal inexact	-	1785-1786
book-of-poetry/odes-of-wei1/zhs	Shuo Shu	2	土	所	tʰu32	su32	tonal inexact	-	1785-1787
book-of-poetry/odes-of-wei1/zhs	Shuo Shu	2	土	所	tʰu32	su32	tonal inexact	-	1786-1787
book-of-poetry/odes-of-wei1/zhs	Shuo Shu	3	女	女	ny32	ny32	tonal inexact	paired	1790-1792
book-of-poetry/odes-of-wei1/zhs	Shuo Shu	3	国	国	kuɔʔ23	kuɔʔ23	tonal exact	-	1793-1794
book-of-poetry/odes-of-tang/zhs	Xi Shuai	2	莫	乐	mouʔ5	louʔ5	tonal exact	paired	1805-1806
book-of-poetry/odes-of-tang/zhs	Xi Shuai	2	莫	康	mouʔ5	kʰouŋ44	inexact	encircling	1805-1808
book-of-poetry/odes-of-tang/zhs	Xi Shuai	2	乐	康	louʔ5	kʰouŋ44	inexact	paired	1806-1808
book-of-poetry/odes-of-tang/zhs	Xi Shuai	2	除	居	ty53	ky44	inexact	-	1807-1809
book-of-poetry/odes-of-tang/zhs	Xi Shuai	2	除	瞿	ty53	ky53	tonal inexact	crossed	1807-1811
book-of-poetry/odes-of-tang/zhs	Xi Shuai	2	居	瞿	ky44	ky53	inexact	-	1809-1811
book-of-poetry/odes-of-tang/zhs	Xi Shuai	3	乐	康	louʔ5	kʰouŋ44	inexact	paired	1814-1816
book-of-poetry/odes-of-tang/zhs	Shan You Shu	2	榆	驱	y53	kʰy44	inexact	-	1829-1833
book-of-poetry/odes-of-tang/zhs	Shan You Shu	2	驱	愉	kʰy44	y53	inexact	-	1833-1835
book-of-poetry/odes-of-tang/zhs	Shan You Shu	3	考	保	kʰo32	po32	tonal inexact	-	1841-1843
book-of-poetry/odes-of-tang/zhs	Yang Zhi Shui	2	凿	乐	ʦouʔ5	louʔ5	tonal exact	encircling	1853-1857
book-of-poetry/odes-of-tang/zhs	Jiao Liao	2	且	且	ʦʰia32	ʦʰia32	tonal inexact	-	1872-1873
book-of-poetry/odes-of-tang/zhs	Chou Mou	2	夕	人	siʔ5	iŋ53	inexact	-	1882-1883
book-of-poetry/odes-of-tang/zhs	Chou Mou	2	夕	兮	siʔ5	hi44	inexact	paired	1882-1884
book-of-poetry/odes-of-tang/zhs	Chou Mou	2	人	兮	iŋ53	hi44	inexact	-	1883-1884
book-of-poetry/odes-of-tang/zhs	Chou Mou	3	夕	兮	siʔ5	hi44	inexact	paired	1888-1890
book-of-poetry/odes-of-tang/zhs	Di Du	2	人	人	iŋ53	iŋ53	tonal exact	paired	1901-1903
book-of-poetry/odes-of-tang/zhs	Di Du	2	焉	焉	yoŋ44	yoŋ44	tonal exact	-	1904-1906
book-of-poetry/odes-of-tang/zhs	Bao Yu	3	棘	极	ʦiʔ5	kiʔ5	tonal exact	-	1932-1937
book-of-poetry/odes-of-tang/zhs	Bao Yu	3	食	天	sieʔ5	tʰieŋ44	inexact	-	1935-1936
book-of-poetry/odes-of-tang/zhs	Wu Yi	2	衣	兮	i44	hi44	tonal inexact	paired	1946-1947
book-of-poetry/odes-of-tang/zhs	You Di Zhi Du	2	左	我	ʦo32	ŋo32	tonal inexact	crossed	1952-1954
book-of-poetry/odes-of-tang/zhs	You Di Zhi Du	2	兮	之	hi44	ʦi44	tonal inexact	paired	1953-1955
book-of-poetry/odes-of-tang/zhs	You Di Zhi Du	2	兮	之	hi44	ʦi44	tonal inexact	crossed	1953-1956
book-of-poetry/odes-of-tang/zhs	You Di Zhi Du	2	之	之	ʦi44	ʦi44	tonal inexact	-	1955-1956
book-of-poetry/odes-of-tang/zhs	Ge Sheng	2	此	处	ʦʰy32	ʦʰy32	tonal inexact	-	1965-1966
book-of-poetry/odes-of-tang/zhs	Cai Ling	2	巅	旃	tieŋ44	ʦieŋ44	tonal exact	encircling	1984-1987
book-of-poetry/odes-of-tang/zhs	Cai Ling	2	言	然	ŋyoŋ53	yoŋ53	tonal exact	crossed	1985-1988
book-of-poetry/odes-of-tang/zhs	Cai Ling	2	言	言	ŋyoŋ53	ŋyoŋ53	tonal exact	encircling	1985-1989
book-of-poetry/odes-of-tang/zhs	Cai Ling	2	言	焉	ŋyoŋ53	yoŋ44	exact	-	1985-1990
book-of-poetry/odes-of-tang/zhs	Cai Ling	2	然	言	yoŋ53	ŋyoŋ53	tonal exact	-	1988-1989
book-of-poetry/odes-of-tang/zhs	Cai Ling	2	然	焉	yoŋ53	yoŋ44	exact	-	1988-1990
book-of-poetry/odes-of-tang/zhs	Cai Ling	2	言	焉	ŋyoŋ53	yoŋ44	exact	-	1989-1990
book-of-poetry/odes-of-tang/zhs	Cai Ling	3	言	然	ŋyoŋ53	yoŋ53	tonal exact	crossed	1993-1996
book-of-poetry/odes-of-tang/zhs	Cai Ling	3	言	言	ŋyoŋ53	ŋyoŋ53	tonal exact	encircling	1993-1997
book-of-poetry/odes-of-tang/zhs	Cai Ling	3	言	焉	ŋyoŋ53	yoŋ44	exact	-	1993-1998
book-of-poetry/odes-of-tang/zhs	Cai Ling	3	然	言	yoŋ53	ŋyoŋ53	tonal exact	-	1996-1997
book-of-poetry/odes-of-tang/zhs	Cai Ling	3	然	焉	yoŋ53	yoŋ44	exact	-	1996-1998
book-of-poetry/odes-of-tang/zhs	Cai Ling	3	言	焉	ŋyoŋ53	yoŋ44	exact	-	1997-1998
book-of-poetry/odes-of-qin/zhs	Si Tie	2	手	狩	ʦʰieu32	sieu212	inexact	crossed	2024-2026
book-of-poetry/odes-of-qin/zhs	Xiao Rong	2	驱	续	kʰy44	syʔ5	inexact	paired	2037-2038
book-of-poetry/odes-of-qin/zhs	Xiao Rong	2	驱	子	kʰy44	ʦy32	inexact	encircling	2037-2041
book-of-poetry/odes-of-qin/zhs	Xiao Rong	2	驱	玉	kʰy44	ŋyʔ5	inexact	-	2037-2042
book-of-poetry/odes-of-qin/zhs	Xiao Rong	2	续	子	syʔ5	ʦy32	inexact	paired	2038-2041
book-of-poetry/odes-of-qin/zhs	Xiao Rong	2	续	玉	syʔ5	ŋyʔ5	tonal exact	crossed	2038-2042
book-of-poetry/odes-of-qin/zhs	Xiao Rong	2	毂	屋	kouʔ23	ouʔ23	tonal exact	paired	2039-2043
