ID	CONCEPT	IPA	DOCULECT	COGID
1	洲	tʂou55	Mandarin	1
2	洲	ʦieu44	Fuzhou	1
3	洲	tɕu55	Hokkien	1
4	洲	tsɐu55	Cantonese	1
5	洲	tsu24	Hakka	1
6	菜	tsʰai51	Mandarin	2
7	菜	ʦʰɑi212	Fuzhou	2
8	菜	tsʰai31	Hokkien	2
9	菜	tsʰɔi33	Cantonese	2
10	菜	tsʰoi55	Hakka	2
11	之	tʂʅ55	Mandarin	3
12	之	ʦi44	Fuzhou	3
13	之	tɕi55	Hokkien	3
14	之	tsi55	Cantonese	3
15	之	tsɨ24	Hakka	3
16	之	tʂʅ55	Mandarin	3
17	之	ʦi44	Fuzhou	3
18	之	tɕi55	Hokkien	3
19	之	tsi55	Cantonese	3
20	之	tsɨ24	Hakka	3
21	服	fu35	Mandarin	4
22	服	huʔ5	Fuzhou	4
23	服	hɔk̚5ʔ	Hokkien	4
24	服	fuk22	Cantonese	4
25	服	fuk̚5	Hakka	4
26	哉	tsai55	Mandarin	5
27	哉	ʦai44	Fuzhou	5
28	哉	tsai55	Hokkien	5
29	哉	tsɔi55	Cantonese	5
30	哉	tsai24	Hakka	5
31	側	tsʰɤ51	Mandarin	6
32	側	ʦʰɑiʔ23	Fuzhou	6
33	側	tɕʰik̚3ʔ	Hokkien	6
34	側	tsɐk55	Cantonese	6
35	側	tset̚2	Hakka	6
36	菜	tsʰai51	Mandarin	2
37	菜	ʦʰɑi212	Fuzhou	2
38	菜	tsʰai31	Hokkien	2
39	菜	tsʰɔi33	Cantonese	2
40	菜	tsʰoi55	Hakka	2
41	之	tʂʅ55	Mandarin	3
42	之	ʦi44	Fuzhou	3
43	之	tɕi55	Hokkien	3
44	之	tsi55	Cantonese	3
45	之	tsɨ24	Hakka	3
46	之	tʂʅ55	Mandarin	3
47	之	ʦi44	Fuzhou	3
48	之	tɕi55	Hokkien	3
49	之	tsi55	Cantonese	3
50	之	tsɨ24	Hakka	3
51	菜	tsʰai51	Mandarin	2
52	菜	ʦʰɑi212	Fuzhou	2
53	菜	tsʰai31	Hokkien	2
54	菜	tsʰɔi33	Cantonese	2
55	菜	tsʰoi55	Hakka	2
56	之	tʂʅ55	Mandarin	3
57	之	ʦi44	Fuzhou	3
58	之	tɕi55	Hokkien	3
59	之	tsi55	Cantonese	3
60	之	tsɨ24	Hakka	3
61	之	tʂʅ55	Mandarin	3
62	之	ʦi44	Fuzhou	3
63	之	tɕi55	Hokkien	3
64	之	tsi55	Cantonese	3
65	之	tsɨ24	Hakka	3
66	谷	ku214	Mandarin	7
67	谷	kouʔ23	Fuzhou	7
68	谷	kɔk̚3ʔ	Hokkien	7
69	谷	kuk55	Cantonese	7
70	谷	kuk̚2	Hakka	7
71	谷	ku214	Mandarin	7
72	谷	kouʔ23	Fuzhou	7
73	谷	kɔk̚3ʔ	Hokkien	7
74	谷	kuk55	Cantonese	7
75	谷	kuk̚2	Hakka	7
76	莫	mu51	Mandarin	8
77	莫	mouʔ5	Fuzhou	8
78	莫	bɔk̚5ʔ	Hokkien	8
79	莫	mɔk22	Cantonese	8
80	莫	mok̚5	Hakka	8
81	氏	ʂʅ51	Mandarin	9
82	氏	sɛi242	Fuzhou	9
83	氏	ɕi33	Hokkien	9
84	氏	si22	Cantonese	9
85	氏	sɨ55	Hakka	9
86	歸	kuei55	Mandarin	10
87	歸	kuoi44	Fuzhou	10
88	歸	kui55	Hokkien	10
89	歸	kʷɐi55	Cantonese	10
90	歸	kui24	Hakka	10
91	否	fou214	Mandarin	11
92	否	pʰɛu32	Fuzhou	11
93	否	hɔ̃51	Hokkien	11
94	否	fɐu35	Cantonese	11
95	否	feu31	Hakka	11
96	人	rən35	Mandarin	12
97	人	iŋ53	Fuzhou	12
98	人	dzin24	Hokkien	12
99	人	jɐn21	Cantonese	12
100	人	ŋin11	Hakka	12
101	行	ɕiŋ35	Mandarin	13
102	行	hɛiŋ53	Fuzhou	13
103	行	hiŋ33	Hokkien	13
104	行	haŋ21	Cantonese	13
105	行	haŋ11	Hakka	13
106	岡	kɑŋ55	Mandarin	14
107	岡	kouŋ44	Fuzhou	14
108	岡	kɔŋ55	Hokkien	14
109	岡	kɔŋ55	Cantonese	14
110	岡	koŋ24	Hakka	14
111	黃	xuɑŋ35	Mandarin	15
112	黃	uoŋ53	Fuzhou	15
113	黃	ŋ24	Hokkien	15
114	黃	wɔŋ21	Cantonese	15
115	黃	voŋ11	Hakka	15
116	矣	i214	Mandarin	16
117	矣	i32	Fuzhou	16
118	矣	aʔ3ʔ	Hokkien	16
119	矣	ji13	Cantonese	16
120	矣	i31	Hakka	16
121	矣	i214	Mandarin	16
122	矣	i32	Fuzhou	16
123	矣	aʔ3ʔ	Hokkien	16
124	矣	ji13	Cantonese	16
125	矣	i31	Hakka	16
126	矣	i214	Mandarin	16
127	矣	i32	Fuzhou	16
128	矣	aʔ3ʔ	Hokkien	16
129	矣	ji13	Cantonese	16
130	矣	i31	Hakka	16
131	矣	i214	Mandarin	16
132	矣	i32	Fuzhou	16
133	矣	aʔ3ʔ	Hokkien	16
134	矣	ji13	Cantonese	16
135	矣	i31	Hakka	16
136	之	tʂʅ55	Mandarin	3
137	之	ʦi44	Fuzhou	3
138	之	tɕi55	Hokkien	3
139	之	tsi55	Cantonese	3
140	之	tsɨ24	Hakka	3
141	之	tʂʅ55	Mandarin	3
142	之	ʦi44	Fuzhou	3
143	之	tɕi55	Hokkien	3
144	之	tsi55	Cantonese	3
145	之	tsɨ24	Hakka	3
146	之	tʂʅ55	Mandarin	3
147	之	ʦi44	Fuzhou	3
148	之	tɕi55	Hokkien	3
149	之	tsi55	Cantonese	3
150	之	tsɨ24	Hakka	3
151	之	tʂʅ55	Mandarin	3
152	之	ʦi44	Fuzhou	3
153	之	tɕi55	Hokkien	3
154	之	tsi55	Cantonese	3
155	之	tsɨ24	Hakka	3
156	之	tʂʅ55	Mandarin	3
157	之	ʦi44	Fuzhou	3
158	之	tɕi55	Hokkien	3
159	之	tsi55	Cantonese	3
160	之	tsɨ24	Hakka	3
161	之	tʂʅ55	Mandarin	3
162	之	ʦi44	Fuzhou	3
163	之	tɕi55	Hokkien	3
164	之	tsi55	Cantonese	3
165	之	tsɨ24	Hakka	3
166	羽	y214	Mandarin	17
167	羽	y32	Fuzhou	17
168	羽	u51	Hokkien	17
169	羽	jy13	Cantonese	17
170	羽	i31	Hakka	17
171	孫	sun55	Mandarin	18
172	孫	souŋ44	Fuzhou	18
173	孫	sun55	Hokkien	18
174	孫	syn55	Cantonese	18
175	孫	sun24	Hakka	18
176	羽	y214	Mandarin	17
177	羽	y32	Fuzhou	17
178	羽	u51	Hokkien	17
179	羽	jy13	Cantonese	17
180	羽	i31	Hakka	17
181	孫	sun55	Mandarin	18
182	孫	souŋ44	Fuzhou	18
183	孫	sun55	Hokkien	18
184	孫	syn55	Cantonese	18
185	孫	sun24	Hakka	18
186	羽	y214	Mandarin	17
187	羽	y32	Fuzhou	17
188	羽	u51	Hokkien	17
189	羽	jy13	Cantonese	17
190	羽	i31	Hakka	17
191	孫	sun55	Mandarin	18
192	孫	souŋ44	Fuzhou	18
193	孫	sun55	Hokkien	18
194	孫	syn55	Cantonese	18
195	孫	sun24	Hakka	18
196	夭	iɑu55	Mandarin	19
197	夭	ieu44	Fuzhou	19
198	夭	iau51	Hokkien	19
199	夭	jiu55	Cantonese	19
200	夭	ieu24	Hakka	19
201	華	xua35	Mandarin	20
202	華	hua53	Fuzhou	20
203	華	hua24	Hokkien	20
204	華	fa55	Cantonese	20
205	華	fa11	Hakka	20
206	歸	kuei55	Mandarin	10
207	歸	kuoi44	Fuzhou	10
208	歸	kui55	Hokkien	10
209	歸	kʷɐi55	Cantonese	10
210	歸	kui24	Hakka	10
211	室	ʂʅ51	Mandarin	21
212	室	sɛiʔ23	Fuzhou	21
213	室	ɕik̚3ʔ	Hokkien	21
214	室	sɐt55	Cantonese	21
215	室	sɨt̚2	Hakka	21
216	夭	iɑu55	Mandarin	19
217	夭	ieu44	Fuzhou	19
218	夭	iau51	Hokkien	19
219	夭	jiu55	Cantonese	19
220	夭	ieu24	Hakka	19
221	歸	kuei55	Mandarin	10
222	歸	kuoi44	Fuzhou	10
223	歸	kui55	Hokkien	10
224	歸	kʷɐi55	Cantonese	10
225	歸	kui24	Hakka	10
226	夭	iɑu55	Mandarin	19
227	夭	ieu44	Fuzhou	19
228	夭	iau51	Hokkien	19
229	夭	jiu55	Cantonese	19
230	夭	ieu24	Hakka	19
231	歸	kuei55	Mandarin	10
232	歸	kuoi44	Fuzhou	10
233	歸	kui55	Hokkien	10
234	歸	kʷɐi55	Cantonese	10
235	歸	kui24	Hakka	10
236	人	rən35	Mandarin	12
237	人	iŋ53	Fuzhou	12
238	人	dzin24	Hokkien	12
239	人	jɐn21	Cantonese	12
240	人	ŋin11	Hakka	12
241	丁	tʂəŋ55	Mandarin	22
242	丁	tiŋ44	Fuzhou	22
243	丁	tiŋ55	Hokkien	22
244	丁	tsɐŋ55	Cantonese	22
245	丁	ten24	Hakka	22
246	夫	fu55	Mandarin	23
247	夫	hu44	Fuzhou	23
248	夫	hu55	Hokkien	23
249	夫	fu55	Cantonese	23
250	夫	fu24	Hakka	23
251	城	tʂʰəŋ35	Mandarin	24
252	城	siŋ53	Fuzhou	24
253	城	ɕã24	Hokkien	24
254	城	sɛŋ21	Cantonese	24
255	城	saŋ11	Hakka	24
256	夫	fu55	Mandarin	23
257	夫	hu44	Fuzhou	23
258	夫	hu55	Hokkien	23
259	夫	fu55	Cantonese	23
260	夫	fu24	Hakka	23
261	仇	tɕʰiou35	Mandarin	25
262	仇	kieu53	Fuzhou	25
263	仇	kiu24	Hokkien	25
264	仇	tsʰɐu21	Cantonese	25
265	仇	su11	Hakka	25
266	林	lin35	Mandarin	26
267	林	liŋ53	Fuzhou	26
268	林	lim24	Hokkien	26
269	林	lɐm21	Cantonese	26
270	林	lim11	Hakka	26
271	夫	fu55	Mandarin	23
272	夫	hu44	Fuzhou	23
273	夫	hu55	Hokkien	23
274	夫	fu55	Cantonese	23
275	夫	fu24	Hakka	23
276	心	ɕin55	Mandarin	27
277	心	siŋ44	Fuzhou	27
278	心	ɕim55	Hokkien	27
279	心	sɐm55	Cantonese	27
280	心	ɕim24	Hakka	27
281	之	tʂʅ55	Mandarin	3
282	之	ʦi44	Fuzhou	3
283	之	tɕi55	Hokkien	3
284	之	tsi55	Cantonese	3
285	之	tsɨ24	Hakka	3
286	之	tʂʅ55	Mandarin	3
287	之	ʦi44	Fuzhou	3
288	之	tɕi55	Hokkien	3
289	之	tsi55	Cantonese	3
290	之	tsɨ24	Hakka	3
291	之	tʂʅ55	Mandarin	3
292	之	ʦi44	Fuzhou	3
293	之	tɕi55	Hokkien	3
294	之	tsi55	Cantonese	3
295	之	tsɨ24	Hakka	3
296	之	tʂʅ55	Mandarin	3
297	之	ʦi44	Fuzhou	3
298	之	tɕi55	Hokkien	3
299	之	tsi55	Cantonese	3
300	之	tsɨ24	Hakka	3
301	之	tʂʅ55	Mandarin	3
302	之	ʦi44	Fuzhou	3
303	之	tɕi55	Hokkien	3
304	之	tsi55	Cantonese	3
305	之	tsɨ24	Hakka	3
306	之	tʂʅ55	Mandarin	3
307	之	ʦi44	Fuzhou	3
308	之	tɕi55	Hokkien	3
309	之	tsi55	Cantonese	3
310	之	tsɨ24	Hakka	3
311	思	sɿ55	Mandarin	28
312	思	sy44	Fuzhou	28
313	思	su31	Hokkien	28
314	思	si55	Cantonese	28
315	思	sɨ24	Hakka	28
316	矣	i214	Mandarin	16
317	矣	i32	Fuzhou	16
318	矣	aʔ3ʔ	Hokkien	16
319	矣	ji13	Cantonese	16
320	矣	i31	Hakka	16
321	思	sɿ55	Mandarin	28
322	思	sy44	Fuzhou	28
323	思	su31	Hokkien	28
324	思	si55	Cantonese	28
325	思	sɨ24	Hakka	28
326	矣	i214	Mandarin	16
327	矣	i32	Fuzhou	16
328	矣	aʔ3ʔ	Hokkien	16
329	矣	ji13	Cantonese	16
330	矣	i31	Hakka	16
331	思	sɿ55	Mandarin	28
332	思	sy44	Fuzhou	28
333	思	su31	Hokkien	28
334	思	si55	Cantonese	28
335	思	sɨ24	Hakka	28
336	薪	ɕin55	Mandarin	29
337	薪	siŋ44	Fuzhou	29
338	薪	ɕin55	Hokkien	29
339	薪	sɐn55	Cantonese	29
340	薪	ɕin24	Hakka	29
341	楚	tʂʰu214	Mandarin	30
342	楚	ʦʰu32	Fuzhou	30
343	楚	tsʰɔ51	Hokkien	30
344	楚	tsʰɔ35	Cantonese	30
345	楚	tsʰu31	Hakka	30
346	歸	kuei55	Mandarin	10
347	歸	kuoi44	Fuzhou	10
348	歸	kui55	Hokkien	10
349	歸	kʷɐi55	Cantonese	10
350	歸	kui24	Hakka	10
351	馬	ma214	Mandarin	31
352	馬	ma32	Fuzhou	31
353	馬	ma51	Hokkien	31
354	馬	ma13	Cantonese	31
355	馬	ma24	Hakka	31
356	矣	i214	Mandarin	16
357	矣	i32	Fuzhou	16
358	矣	aʔ3ʔ	Hokkien	16
359	矣	ji13	Cantonese	16
360	矣	i31	Hakka	16
361	思	sɿ55	Mandarin	28
362	思	sy44	Fuzhou	28
363	思	su31	Hokkien	28
364	思	si55	Cantonese	28
365	思	sɨ24	Hakka	28
366	矣	i214	Mandarin	16
367	矣	i32	Fuzhou	16
368	矣	aʔ3ʔ	Hokkien	16
369	矣	ji13	Cantonese	16
370	矣	i31	Hakka	16
371	思	sɿ55	Mandarin	28
372	思	sy44	Fuzhou	28
373	思	su31	Hokkien	28
374	思	si55	Cantonese	28
375	思	sɨ24	Hakka	28
376	薪	ɕin55	Mandarin	29
377	薪	siŋ44	Fuzhou	29
378	薪	ɕin55	Hokkien	29
379	薪	sɐn55	Cantonese	29
380	薪	ɕin24	Hakka	29
381	歸	kuei55	Mandarin	10
382	歸	kuoi44	Fuzhou	10
383	歸	kui55	Hokkien	10
384	歸	kʷɐi55	Cantonese	10
385	歸	kui24	Hakka	10
386	矣	i214	Mandarin	16
387	矣	i32	Fuzhou	16
388	矣	aʔ3ʔ	Hokkien	16
389	矣	ji13	Cantonese	16
390	矣	i31	Hakka	16
391	思	sɿ55	Mandarin	28
392	思	sy44	Fuzhou	28
393	思	su31	Hokkien	28
394	思	si55	Cantonese	28
395	思	sɨ24	Hakka	28
396	矣	i214	Mandarin	16
397	矣	i32	Fuzhou	16
398	矣	aʔ3ʔ	Hokkien	16
399	矣	ji13	Cantonese	16
400	矣	i31	Hakka	16
401	思	sɿ55	Mandarin	28
402	思	sy44	Fuzhou	28
403	思	su31	Hokkien	28
404	思	si55	Cantonese	28
405	思	sɨ24	Hakka	28
406	飢	tɕi55	Mandarin	32
407	飢	ki44	Fuzhou	32
408	飢	ki55	Hokkien	32
409	飢	kei55	Cantonese	32
410	飢	ki24	Hakka	32
411	棄	tɕʰi51	Mandarin	33
412	棄	kʰɛi212	Fuzhou	33
413	棄	kʰi31	Hokkien	33
414	棄	hei33	Cantonese	33
415	棄	kʰi55	Hakka	33
416	尾	uei214	Mandarin	34
417	尾	uoi32	Fuzhou	34
418	尾	bue51	Hokkien	34
419	尾	mei13	Cantonese	34
420	尾	mi24	Hakka	34
421	毀	xuei214	Mandarin	35
422	毀	huoi32	Fuzhou	35
423	毀	hui51	Hokkien	35
424	毀	wɐi35	Cantonese	35
425	毀	fi31	Hakka	35
426	毀	xuei214	Mandarin	35
427	毀	huoi32	Fuzhou	35
428	毀	hui51	Hokkien	35
429	毀	wɐi35	Cantonese	35
430	毀	fi31	Hakka	35
431	趾	tʂʅ214	Mandarin	36
432	趾	ʦi32	Fuzhou	36
433	趾	tɕi51	Hokkien	36
434	趾	tsi35	Cantonese	36
435	趾	tsɨ31	Hakka	36
436	角	tɕiɑu214	Mandarin	37
437	角	kɔyʔ23	Fuzhou	37
438	角	kak̚3ʔ	Hokkien	37
439	角	kɔk33	Cantonese	37
440	角	kok̚2	Hakka	37
441	族	tsu35	Mandarin	38
442	族	ʦuʔ5	Fuzhou	38
443	族	tsɔk̚5ʔ	Hokkien	38
444	族	tsuk22	Cantonese	38
445	族	tsʰuk̚5	Hakka	38
446	巢	tʂʰɑu35	Mandarin	39
447	巢	ʦau53	Fuzhou	39
448	巢	tsau24	Hokkien	39
449	巢	tsʰau21	Cantonese	39
450	巢	sau11	Hakka	39
451	之	tʂʅ55	Mandarin	3
452	之	ʦi44	Fuzhou	3
453	之	tɕi55	Hokkien	3
454	之	tsi55	Cantonese	3
455	之	tsɨ24	Hakka	3
456	歸	kuei55	Mandarin	10
457	歸	kuoi44	Fuzhou	10
458	歸	kui55	Hokkien	10
459	歸	kʷɐi55	Cantonese	10
460	歸	kui24	Hakka	10
461	之	tʂʅ55	Mandarin	3
462	之	ʦi44	Fuzhou	3
463	之	tɕi55	Hokkien	3
464	之	tsi55	Cantonese	3
465	之	tsɨ24	Hakka	3
466	巢	tʂʰɑu35	Mandarin	39
467	巢	ʦau53	Fuzhou	39
468	巢	tsau24	Hokkien	39
469	巢	tsʰau21	Cantonese	39
470	巢	sau11	Hakka	39
471	之	tʂʅ55	Mandarin	3
472	之	ʦi44	Fuzhou	3
473	之	tɕi55	Hokkien	3
474	之	tsi55	Cantonese	3
475	之	tsɨ24	Hakka	3
476	歸	kuei55	Mandarin	10
477	歸	kuoi44	Fuzhou	10
478	歸	kui55	Hokkien	10
479	歸	kʷɐi55	Cantonese	10
480	歸	kui24	Hakka	10
481	之	tʂʅ55	Mandarin	3
482	之	ʦi44	Fuzhou	3
483	之	tɕi55	Hokkien	3
484	之	tsi55	Cantonese	3
485	之	tsɨ24	Hakka	3
486	巢	tʂʰɑu35	Mandarin	39
487	巢	ʦau53	Fuzhou	39
488	巢	tsau24	Hokkien	39
489	巢	tsʰau21	Cantonese	39
490	巢	sau11	Hakka	39
491	之	tʂʅ55	Mandarin	3
492	之	ʦi44	Fuzhou	3
493	之	tɕi55	Hokkien	3
494	之	tsi55	Cantonese	3
495	之	tsɨ24	Hakka	3
496	歸	kuei55	Mandarin	10
497	歸	kuoi44	Fuzhou	10
498	歸	kui55	Hokkien	10
499	歸	kʷɐi55	Cantonese	10
500	歸	kui24	Hakka	10
501	之	tʂʅ55	Mandarin	3
502	之	ʦi44	Fuzhou	3
503	之	tɕi55	Hokkien	3
504	之	tsi55	Cantonese	3
505	之	tsɨ24	Hakka	3
506	之	tʂʅ55	Mandarin	3
507	之	ʦi44	Fuzhou	3
508	之	tɕi55	Hokkien	3
509	之	tsi55	Cantonese	3
510	之	tsɨ24	Hakka	3
511	之	tʂʅ55	Mandarin	3
512	之	ʦi44	Fuzhou	3
513	之	tɕi55	Hokkien	3
514	之	tsi55	Cantonese	3
515	之	tsɨ24	Hakka	3
516	歸	kuei55	Mandarin	10
517	歸	kuoi44	Fuzhou	10
518	歸	kui55	Hokkien	10
519	歸	kʷɐi55	Cantonese	10
520	歸	kui24	Hakka	10
521	止	tʂʅ214	Mandarin	40
522	止	ʦi32	Fuzhou	40
523	止	tɕi51	Hokkien	40
524	止	tsi35	Cantonese	40
525	止	tsɨ31	Hakka	40
526	止	tʂʅ214	Mandarin	40
527	止	ʦi32	Fuzhou	40
528	止	tɕi51	Hokkien	40
529	止	tsi35	Cantonese	40
530	止	tsɨ31	Hakka	40
531	降	tɕiɑŋ51	Mandarin	41
532	降	kɔuŋ212	Fuzhou	41
533	降	kaŋ31	Hokkien	41
534	降	kɔŋ33	Cantonese	41
535	降	kiuŋ55	Hakka	41
536	止	tʂʅ214	Mandarin	40
537	止	ʦi32	Fuzhou	40
538	止	tɕi51	Hokkien	40
539	止	tsi35	Cantonese	40
540	止	tsɨ31	Hakka	40
541	止	tʂʅ214	Mandarin	40
542	止	ʦi32	Fuzhou	40
543	止	tɕi51	Hokkien	40
544	止	tsi35	Cantonese	40
545	止	tsɨ31	Hakka	40
546	悲	pei55	Mandarin	42
547	悲	pʰi44	Fuzhou	42
548	悲	pi55	Hokkien	42
549	悲	pei55	Cantonese	42
550	悲	pi24	Hakka	42
551	止	tʂʅ214	Mandarin	40
552	止	ʦi32	Fuzhou	40
553	止	tɕi51	Hokkien	40
554	止	tsi35	Cantonese	40
555	止	tsɨ31	Hakka	40
556	止	tʂʅ214	Mandarin	40
557	止	ʦi32	Fuzhou	40
558	止	tɕi51	Hokkien	40
559	止	tsi35	Cantonese	40
560	止	tsɨ31	Hakka	40
561	夷	i35	Mandarin	43
562	夷	i53	Fuzhou	43
563	夷	i24	Hokkien	43
564	夷	ji21	Cantonese	43
565	夷	i11	Hakka	43
566	濱	pin55	Mandarin	44
567	濱	piŋ44	Fuzhou	44
568	濱	pin55	Hokkien	44
569	濱	pɐn55	Cantonese	44
570	濱	pin24	Hakka	44
571	潦	lɑu214	Mandarin	45
572	潦	lieu32	Fuzhou	45
573	潦	lə51	Hokkien	45
574	潦	lou13	Cantonese	45
575	潦	lau11	Hakka	45
576	之	tʂʅ55	Mandarin	3
577	之	ʦi44	Fuzhou	3
578	之	tɕi55	Hokkien	3
579	之	tsi55	Cantonese	3
580	之	tsɨ24	Hakka	3
581	之	tʂʅ55	Mandarin	3
582	之	ʦi44	Fuzhou	3
583	之	tɕi55	Hokkien	3
584	之	tsi55	Cantonese	3
585	之	tsɨ24	Hakka	3
586	之	tʂʅ55	Mandarin	3
587	之	ʦi44	Fuzhou	3
588	之	tɕi55	Hokkien	3
589	之	tsi55	Cantonese	3
590	之	tsɨ24	Hakka	3
591	之	tʂʅ55	Mandarin	3
592	之	ʦi44	Fuzhou	3
593	之	tɕi55	Hokkien	3
594	之	tsi55	Cantonese	3
595	之	tsɨ24	Hakka	3
596	棠	tʰɑŋ35	Mandarin	46
597	棠	touŋ53	Fuzhou	46
598	棠	tɔŋ24	Hokkien	46
599	棠	tʰɔŋ21	Cantonese	46
600	棠	tʰoŋ11	Hakka	46
601	棠	tʰɑŋ35	Mandarin	46
602	棠	touŋ53	Fuzhou	46
603	棠	tɔŋ24	Hokkien	46
604	棠	tʰɔŋ21	Cantonese	46
605	棠	tʰoŋ11	Hakka	46
606	敗	pai51	Mandarin	47
607	敗	pɑi242	Fuzhou	47
608	敗	pai33	Hokkien	47
609	敗	pai22	Cantonese	47
610	敗	pʰai55	Hakka	47
611	棠	tʰɑŋ35	Mandarin	46
612	棠	touŋ53	Fuzhou	46
613	棠	tɔŋ24	Hokkien	46
614	棠	tʰɔŋ21	Cantonese	46
615	棠	tʰoŋ11	Hakka	46
616	拜	pa55	Mandarin	48
617	拜	pɑi212	Fuzhou	48
618	拜	pai31	Hokkien	48
619	拜	pai55	Cantonese	48
620	拜	pai55	Hakka	48
621	夜	iɛ51	Mandarin	49
622	夜	iɑ242	Fuzhou	49
623	夜	ia33	Hokkien	49
624	夜	jɛ22	Cantonese	49
625	夜	ia55	Hakka	49
626	角	tɕiɑu214	Mandarin	37
627	角	kɔyʔ23	Fuzhou	37
628	角	kak̚3ʔ	Hokkien	37
629	角	kɔk33	Cantonese	37
630	角	kok̚2	Hakka	37
631	屋	u55	Mandarin	50
632	屋	ouʔ23	Fuzhou	50
633	屋	ɔk̚3ʔ	Hokkien	50
634	屋	uk55	Cantonese	50
635	屋	vuk̚2	Hakka	50
636	足	tsu35	Mandarin	51
637	足	ʦøyʔ23	Fuzhou	51
638	足	tɕɔk̚3ʔ	Hokkien	51
639	足	tsuk55	Cantonese	51
640	足	tɕiuk̚2	Hakka	51
641	訟	suŋ51	Mandarin	52
642	訟	søyŋ242	Fuzhou	52
643	訟	ɕɔŋ33	Hokkien	52
644	訟	tsuŋ22	Cantonese	52
645	訟	ɕiuŋ55	Hakka	52
646	訟	suŋ51	Mandarin	52
647	訟	søyŋ242	Fuzhou	52
648	訟	ɕɔŋ33	Hokkien	52
649	訟	tsuŋ22	Cantonese	52
650	訟	ɕiuŋ55	Hakka	52
651	皮	pʰi35	Mandarin	53
652	皮	pʰi53	Fuzhou	53
653	皮	pʰe24	Hokkien	53
654	皮	pʰei21	Cantonese	53
655	皮	pʰi11	Hakka	53
656	革	kɤ35	Mandarin	54
657	革	kɑiʔ23	Fuzhou	54
658	革	kik̚3ʔ	Hokkien	54
659	革	kak33	Cantonese	54
660	革	kiet̚2	Hakka	54
661	陽	iɑŋ35	Mandarin	55
662	陽	yoŋ53	Fuzhou	55
663	陽	iũ24	Hokkien	55
664	陽	jœŋ21	Cantonese	55
665	陽	ioŋ11	Hakka	55
666	斯	sɿ55	Mandarin	56
667	斯	sy44	Fuzhou	56
668	斯	su55	Hokkien	56
669	斯	si55	Cantonese	56
670	斯	sɨ11	Hakka	56
671	哉	tsai55	Mandarin	5
672	哉	ʦai44	Fuzhou	5
673	哉	tsai55	Hokkien	5
674	哉	tsɔi55	Cantonese	5
675	哉	tsai24	Hakka	5
676	側	tsʰɤ51	Mandarin	6
677	側	ʦʰɑiʔ23	Fuzhou	6
678	側	tɕʰik̚3ʔ	Hokkien	6
679	側	tsɐk55	Cantonese	6
680	側	tset̚2	Hakka	6
681	斯	sɿ55	Mandarin	56
682	斯	sy44	Fuzhou	56
683	斯	su55	Hokkien	56
684	斯	si55	Cantonese	56
685	斯	sɨ11	Hakka	56
686	哉	tsai55	Mandarin	5
687	哉	ʦai44	Fuzhou	5
688	哉	tsai55	Hokkien	5
689	哉	tsɔi55	Cantonese	5
690	哉	tsai24	Hakka	5
691	斯	sɿ55	Mandarin	56
692	斯	sy44	Fuzhou	56
693	斯	su55	Hokkien	56
694	斯	si55	Cantonese	56
695	斯	sɨ11	Hakka	56
696	處	tʂʰu214	Mandarin	57
697	處	ʦʰy32	Fuzhou	57
698	處	tsʰu31	Hokkien	57
699	處	tsʰy35	Cantonese	57
700	處	tsʰu31	Hakka	57
701	哉	tsai55	Mandarin	5
702	哉	ʦai44	Fuzhou	5
703	哉	tsai55	Hokkien	5
704	哉	tsɔi55	Cantonese	5
705	哉	tsai24	Hakka	5
706	梅	mei35	Mandarin	58
707	梅	muoi53	Fuzhou	58
708	梅	mui24	Hokkien	58
709	梅	mui21	Cantonese	58
710	梅	moi11	Hakka	58
711	士	ʂʅ51	Mandarin	59
712	士	søy242	Fuzhou	59
713	士	su33	Hokkien	59
714	士	si22	Cantonese	59
715	士	sɨ55	Hakka	59
716	梅	mei35	Mandarin	58
717	梅	muoi53	Fuzhou	58
718	梅	mui24	Hokkien	58
719	梅	mui21	Cantonese	58
720	梅	moi11	Hakka	58
721	士	ʂʅ51	Mandarin	59
722	士	søy242	Fuzhou	59
723	士	su33	Hokkien	59
724	士	si22	Cantonese	59
725	士	sɨ55	Hakka	59
726	梅	mei35	Mandarin	58
727	梅	muoi53	Fuzhou	58
728	梅	mui24	Hokkien	58
729	梅	mui21	Cantonese	58
730	梅	moi11	Hakka	58
731	之	tʂʅ55	Mandarin	3
732	之	ʦi44	Fuzhou	3
733	之	tɕi55	Hokkien	3
734	之	tsi55	Cantonese	3
735	之	tsɨ24	Hakka	3
736	士	ʂʅ51	Mandarin	59
737	士	søy242	Fuzhou	59
738	士	su33	Hokkien	59
739	士	si22	Cantonese	59
740	士	sɨ55	Hakka	59
741	之	tʂʅ55	Mandarin	3
742	之	ʦi44	Fuzhou	3
743	之	tɕi55	Hokkien	3
744	之	tsi55	Cantonese	3
745	之	tsɨ24	Hakka	3
746	征	tʂəŋ55	Mandarin	60
747	征	ʦiŋ44	Fuzhou	60
748	征	tɕiŋ55	Hokkien	60
749	征	tsiŋ55	Cantonese	60
750	征	tsɨn24	Hakka	60
751	征	tʂəŋ55	Mandarin	60
752	征	ʦiŋ44	Fuzhou	60
753	征	tɕiŋ55	Hokkien	60
754	征	tsiŋ55	Cantonese	60
755	征	tsɨn24	Hakka	60
756	猶	iou35	Mandarin	61
