埃	*qˤə 
博	*pˤak 
搏	*pˤak 
胉	*pʰˤak 
搏	*p(r)ak-s 
襮	*pˤawk 
跛	*pˤajʔ 
簸	*pˤajʔ 
簸	*pˤajʔ-s 
播	*pˤar-s 
擘	*pˤrek (~ *mə-pˤrek)
哺	*[b]ˤa-s 
補	*[Cə]-pˤaʔ 
卜	*pˤok 
簿	*[b]ˤaʔ 
步	*mə-bˤa-s 
部	*[b]ˤ(r)oʔ 
不	*pə 
不	*pə 
布	*pˤa-s 
布	*pˤa-s 
才	*[dz]ˤə 
材	*[dz]ˤə 
財	*[dz]ˤə 
裁	*[dz]ˤə 
采	*s.r̥ˤəʔ 
采	*s.r̥ˤəʔ 
彩	*s.r̥ˤəʔ 
採	*s.r̥ˤəʔ 
蔡	*s.r̥̥ˤat-s 
菜	*s.r̥ˤəʔ-s 
參	r̥ˤəʔ
驂	*m-sˤrum (should be *s.r̥ˤum)
慚	*[dz]ˤam 
慙	*[dz]ˤam 
殘	*[dz]ˤa[n] 
蠶	*C.[dz]ˤ[ə]m 
粲	*[tsʰ]ˤar-s 
倉	*[s.r̥]ˤaŋ 
凔	*[tsʰ]ˤaŋ 
蒼	*[tsʰ]ˤaŋ 
倉	*tsʰˤaŋ 
藏	*m-tsʰˤaŋ 
操	*[tsʰ]ˤawʔ 
操	*[tsʰ]ˤawʔ-s 
曹	*N-tsˤu 
草	*[tsʰ]ˤuʔ 
草	*[tsʰ]ˤuʔ 
册	*[tsʰ](ˤ)rek 
策	*[tsʰ](ˤ)rek 
栅	*[tsʰ]ˤrek 
廁	*[tsʰ]rək-s 
畟	*Nə-[tsʰ]rək 
測	*[tsʰ]rək 
側	*[ts]rək 
參	*[tsʰr][u]m 
層	*N-s-tˤəŋ 
曾	*[dz]ˤəŋ 
層	*m-s-tˤəŋ 
差	*tsʰraj 
臿	*[tsʰ]<r>op 
插	*mə-[tsʰ]<r>op 
扱	*s-qʰr[ə]p 
秅	*[d]ˤra 
荼	*lˤra 
槎	*[dz]ˤraj 
槎	*[dz]ˤrajʔ 
察	*[tsʰ]ˤret 
詫	*tʰˤrak-s 
